state,SHELDED,FSSLTDED,HWGT,FSSTDDE2,FSTANF,FSASSET,FSUNEARN,LIQRESOR,FSSSI,FSNONCIT,FSTOTDED,TANF_IND,RAWERND,RAWNET,FSTOTDE2
Connecticut,584,584,3575,240,0,0,920,0,0,0,744,0,0,176,744
Connecticut,968,969,3704,240,0,0,1197,0,0,0,1171,0,42,239,1171
Connecticut,969,969,3521,240,0,0,1278,0,0,0,1129,0,0,149,1129
Connecticut,0,0,3216,0,0,0,0,0,0,0,160,0,0,0,0
Connecticut,802,802,3527,240,0,0,1113,0,735,0,962,0,0,151,962
Connecticut,728,546,4416,240,0,0,0,0,0,0,1049,0,343,535,1049
Connecticut,535,535,2763,24,0,0,860,0,0,0,2299,0,261,724,2163
Connecticut,576,576,3778,240,0,0,1011,0,0,0,736,0,0,276,736
Connecticut,1054,1054,3216,0,0,0,909,0,151,0,1214,0,0,0,909
Connecticut,0,0,2763,26,0,0,26,0,0,0,160,0,0,0,26
Connecticut,966,966,3541,240,0,0,1331,0,0,0,1172,0,0,159,1172
Connecticut,696,696,4022,240,0,0,1250,0,0,0,856,0,0,395,856
Connecticut,535,535,2962,44,0,0,515,0,0,0,695,0,0,0,515
Connecticut,535,535,3466,160,0,0,0,0,0,0,899,0,204,122,899
Connecticut,535,535,2962,0,0,0,200,0,0,0,695,0,0,0,200
Connecticut,517,535,3216,115,0,0,650,0,0,0,695,0,0,0,650
Connecticut,1341,1341,3216,0,0,0,1245,0,490,0,1501,0,0,0,1245
Connecticut,535,535,4294,266,0,0,1332,0,0,0,843,0,80,890,843
Connecticut,335,335,3770,255,0,0,0,0,0,0,765,0,261,537,765
Connecticut,535,535,4589,160,0,0,0,0,0,0,1068,0,374,799,1068
Connecticut,0,0,4389,160,0,0,735,0,735,0,160,0,0,575,160
Connecticut,535,535,3805,160,0,0,0,0,0,0,940,0,246,288,940
Connecticut,535,535,3216,0,0,0,0,0,0,0,808,0,114,0,568
Connecticut,831,831,3216,3,0,0,754,0,0,0,991,0,0,0,754
Connecticut,226,226,4280,240,0,0,909,0,735,0,386,0,0,524,386
Connecticut,561,561,3277,240,0,0,0,0,0,0,908,0,188,30,908
Connecticut,452,452,3312,240,487,0,879,0,0,0,612,1,0,267,612
Connecticut,1053,535,2962,0,0,0,219,0,0,0,728,0,34,0,387
Connecticut,535,535,4024,160,0,0,0,0,0,0,1023,0,328,617,1023
Connecticut,0,0,3216,0,0,0,0,0,0,0,160,0,0,0,0
Connecticut,535,535,2962,0,0,0,0,0,0,0,695,0,0,0,0
Connecticut,535,535,2763,112,597,0,647,0,0,0,695,1,0,0,647
Connecticut,945,945,3216,0,0,0,826,0,652,0,1105,0,0,0,826
Connecticut,0,0,3216,0,0,0,0,0,0,0,160,0,0,0,0
Connecticut,0,0,2672,0,0,0,0,0,0,0,170,0,0,0,0
Connecticut,321,321,4252,255,0,0,1267,0,735,0,491,0,0,777,491
Connecticut,0,0,3216,0,0,0,0,0,0,0,160,0,0,0,0
Connecticut,741,741,3216,74,0,0,735,0,735,0,901,0,0,0,735
Connecticut,535,535,2672,0,0,0,0,0,0,0,705,0,0,0,0
Connecticut,535,535,3698,160,0,0,0,0,0,0,1456,0,383,459,1456
Connecticut,648,648,3216,187,0,0,755,0,187,0,808,0,0,0,755
Connecticut,535,535,2763,68,0,0,533,0,0,0,695,0,0,0,533
Connecticut,535,535,4295,160,0,0,782,0,0,0,861,0,166,752,861
Connecticut,596,596,3887,240,0,0,1085,0,0,0,756,0,0,330,756
Connecticut,535,535,2672,0,0,0,0,0,0,1,705,0,0,0,0
Connecticut,572,571,3270,240,0,0,756,0,115,0,731,0,0,24,731
Connecticut,0,0,3216,0,0,0,0,0,0,0,160,0,0,0,0
Connecticut,491,491,4416,240,0,0,1260,0,0,0,651,0,0,609,651
Connecticut,573,573,5247,240,0,0,2370,0,0,0,733,0,0,1636,733
Connecticut,535,535,3216,0,0,0,0,0,0,0,799,0,104,0,521
Connecticut,535,535,3216,153,0,0,0,0,0,0,867,0,172,0,860
Connecticut,781,781,5125,240,0,0,2004,0,0,1,941,0,0,1064,941
Connecticut,388,388,4621,240,0,0,0,0,0,0,1287,0,440,910,1287
Connecticut,0,0,3216,0,0,0,0,0,0,0,160,0,0,0,0
Connecticut,587,587,3256,240,0,0,765,0,0,0,747,0,0,19,747
Connecticut,630,630,3216,185,0,0,735,0,735,0,790,0,0,0,735
Connecticut,570,570,3216,186,0,0,676,0,490,0,730,0,0,0,676
Connecticut,602,516,4366,240,0,0,1364,0,0,0,676,0,0,602,676
Connecticut,539,539,4416,240,0,0,103,0,103,0,1095,0,396,990,1095
Connecticut,0,0,3216,0,0,0,0,0,0,0,160,0,0,0,0
Connecticut,675,675,3216,122,0,0,717,0,0,0,835,0,0,0,717
Connecticut,0,0,3216,0,0,0,0,0,0,0,160,0,0,0,0
Connecticut,535,535,4020,160,0,0,0,0,0,0,1328,0,369,517,1328
Connecticut,535,535,2763,18,0,0,0,0,0,0,833,0,138,0,691
Connecticut,484,484,4206,240,0,0,1128,0,0,0,644,0,0,484,644
Connecticut,631,631,3724,240,0,0,994,0,0,0,791,0,0,203,791
Connecticut,873,873,4134,240,0,0,989,0,0,0,1128,0,95,336,1128
Connecticut,535,535,2751,0,162,0,162,0,0,0,695,1,0,0,162
Connecticut,684,684,3434,240,0,0,949,0,0,0,844,0,0,106,844
Connecticut,535,535,3114,0,0,0,0,0,0,0,695,0,0,0,0
Connecticut,700,700,3444,240,0,0,967,0,0,0,860,0,0,108,860
Connecticut,0,0,3114,0,0,0,0,0,0,0,160,0,0,0,0
Connecticut,0,0,3114,0,0,0,0,0,0,0,160,0,0,0,0
Connecticut,535,535,3114,0,0,0,0,0,0,0,695,0,0,0,0
Connecticut,890,883,2751,0,0,0,751,0,735,0,1043,0,0,0,751
Connecticut,763,763,3114,0,0,0,490,0,490,0,923,0,0,0,490
Connecticut,1227,1278,3114,0,0,0,909,0,0,0,1786,0,100,0,1409
Connecticut,1101,1101,3114,0,0,0,715,0,0,0,1261,0,0,0,715
Connecticut,315,316,5081,342,0,0,1445,0,1249,0,544,0,0,902,544
Connecticut,535,535,3114,80,0,0,0,0,0,0,833,0,139,0,693
Connecticut,535,535,3114,0,0,0,0,0,0,0,695,0,0,0,0
Connecticut,606,606,4734,240,0,0,1305,0,0,0,766,0,0,540,766
Connecticut,535,535,3114,0,0,0,0,0,0,0,695,0,0,0,0
Connecticut,535,535,5993,160,0,0,0,0,0,0,1138,0,444,1079,1138
Connecticut,1182,1182,2384,160,487,0,1242,0,238,0,1381,1,0,0,1242
Connecticut,675,675,4052,240,0,0,1266,0,0,1,835,0,0,431,835
Connecticut,458,458,3882,240,0,0,0,0,0,0,866,0,248,375,866
Connecticut,552,552,3734,240,0,0,917,0,0,0,712,0,0,206,712
